#   lattice symmetry parameter b = 0.8639 
#   V1/V0 =  1.500 
#   Lattice depths =    35.000  15.000  15.000
# 
#    k            band1                band2            band3 ...
  -1.000    -6.0779155384e+01    -5.5863510011e+01    -3.8240395056e+01
  -0.990    -6.0779155496e+01    -5.5863509570e+01    -3.8240414029e+01
  -0.980    -6.0779155830e+01    -5.5863508245e+01    -3.8240470930e+01
  -0.970    -6.0779156387e+01    -5.5863506040e+01    -3.8240565696e+01
  -0.960    -6.0779157166e+01    -5.5863502956e+01    -3.8240698229e+01
  -0.950    -6.0779158166e+01    -5.5863498995e+01    -3.8240868387e+01
  -0.940    -6.0779159386e+01    -5.5863494162e+01    -3.8241075991e+01
  -0.930    -6.0779160826e+01    -5.5863488462e+01    -3.8241320820e+01
  -0.920    -6.0779162483e+01    -5.5863481900e+01    -3.8241602615e+01
  -0.910    -6.0779164356e+01    -5.5863474483e+01    -3.8241921079e+01
  -0.900    -6.0779166443e+01    -5.5863466218e+01    -3.8242275873e+01
  -0.890    -6.0779168742e+01    -5.5863457113e+01    -3.8242666624e+01
  -0.880    -6.0779171251e+01    -5.5863447177e+01    -3.8243092919e+01
  -0.870    -6.0779173967e+01    -5.5863436420e+01    -3.8243554308e+01
  -0.860    -6.0779176888e+01    -5.5863424853e+01    -3.8244050304e+01
  -0.850    -6.0779180011e+01    -5.5863412486e+01    -3.8244580385e+01
  -0.840    -6.0779183332e+01    -5.5863399333e+01    -3.8245143993e+01
  -0.830    -6.0779186849e+01    -5.5863385406e+01    -3.8245740536e+01
  -0.820    -6.0779190558e+01    -5.5863370719e+01    -3.8246369388e+01
  -0.810    -6.0779194454e+01    -5.5863355286e+01    -3.8247029888e+01
  -0.800    -6.0779198536e+01    -5.5863339123e+01    -3.8247721346e+01
  -0.790    -6.0779202797e+01    -5.5863322246e+01    -3.8248443038e+01
  -0.780    -6.0779207235e+01    -5.5863304670e+01    -3.8249194210e+01
  -0.770    -6.0779211845e+01    -5.5863286414e+01    -3.8249974078e+01
  -0.760    -6.0779216622e+01    -5.5863267496e+01    -3.8250781831e+01
  -0.750    -6.0779221561e+01    -5.5863247934e+01    -3.8251616627e+01
  -0.740    -6.0779226658e+01    -5.5863227747e+01    -3.8252477601e+01
  -0.730    -6.0779231908e+01    -5.5863206956e+01    -3.8253363861e+01
  -0.720    -6.0779237305e+01    -5.5863185580e+01    -3.8254274487e+01
  -0.710    -6.0779242844e+01    -5.5863163642e+01    -3.8255208541e+01
  -0.700    -6.0779248519e+01    -5.5863141163e+01    -3.8256165059e+01
  -0.690    -6.0779254326e+01    -5.5863118164e+01    -3.8257143056e+01
  -0.680    -6.0779260258e+01    -5.5863094668e+01    -3.8258141527e+01
  -0.670    -6.0779266310e+01    -5.5863070700e+01    -3.8259159449e+01
  -0.660    -6.0779272475e+01    -5.5863046282e+01    -3.8260195780e+01
  -0.650    -6.0779278747e+01    -5.5863021438e+01    -3.8261249461e+01
  -0.640    -6.0779285121e+01    -5.5862996193e+01    -3.8262319417e+01
  -0.630    -6.0779291589e+01    -5.5862970572e+01    -3.8263404562e+01
  -0.620    -6.0779298146e+01    -5.5862944601e+01    -3.8264503792e+01
  -0.610    -6.0779304785e+01    -5.5862918304e+01    -3.8265615995e+01
  -0.600    -6.0779311499e+01    -5.5862891707e+01    -3.8266740045e+01
  -0.590    -6.0779318283e+01    -5.5862864838e+01    -3.8267874810e+01
  -0.580    -6.0779325128e+01    -5.5862837722e+01    -3.8269019146e+01
  -0.570    -6.0779332029e+01    -5.5862810387e+01    -3.8270171905e+01
  -0.560    -6.0779338978e+01    -5.5862782858e+01    -3.8271331931e+01
  -0.550    -6.0779345970e+01    -5.5862755164e+01    -3.8272498064e+01
  -0.540    -6.0779352996e+01    -5.5862727332e+01    -3.8273669141e+01
  -0.530    -6.0779360049e+01    -5.5862699389e+01    -3.8274843996e+01
  -0.520    -6.0779367124e+01    -5.5862671362e+01    -3.8276021462e+01
  -0.510    -6.0779374213e+01    -5.5862643280e+01    -3.8277200373e+01
  -0.500    -6.0779381309e+01    -5.5862615171e+01    -3.8278379561e+01
  -0.490    -6.0779388404e+01    -5.5862587061e+01    -3.8279557865e+01
  -0.480    -6.0779395493e+01    -5.5862558978e+01    -3.8280734125e+01
  -0.470    -6.0779402568e+01    -5.5862530951e+01    -3.8281907184e+01
  -0.460    -6.0779409621e+01    -5.5862503007e+01    -3.8283075893e+01
  -0.450    -6.0779416647e+01    -5.5862475173e+01    -3.8284239111e+01
  -0.440    -6.0779423637e+01    -5.5862447478e+01    -3.8285395701e+01
  -0.430    -6.0779430586e+01    -5.5862419948e+01    -3.8286544539e+01
  -0.420    -6.0779437486e+01    -5.5862392610e+01    -3.8287684508e+01
  -0.410    -6.0779444331e+01    -5.5862365492e+01    -3.8288814503e+01
  -0.400    -6.0779451114e+01    -5.5862338620e+01    -3.8289933432e+01
  -0.390    -6.0779457827e+01    -5.5862312021e+01    -3.8291040214e+01
  -0.380    -6.0779464465e+01    -5.5862285721e+01    -3.8292133785e+01
  -0.370    -6.0779471021e+01    -5.5862259746e+01    -3.8293213092e+01
  -0.360    -6.0779477488e+01    -5.5862234121e+01    -3.8294277101e+01
  -0.350    -6.0779483861e+01    -5.5862208873e+01    -3.8295324795e+01
  -0.340    -6.0779490132e+01    -5.5862184025e+01    -3.8296355171e+01
  -0.330    -6.0779496295e+01    -5.5862159603e+01    -3.8297367248e+01
  -0.320    -6.0779502345e+01    -5.5862135630e+01    -3.8298360062e+01
